filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Fievee_Dot	30	41	695	7	0.010071942446043165	0.0	0.03857410362651285
Fievee_Dot	31	5	111	0	0.0	0.0	0.0
Fievee_Dot	32	20	345	3	0.008695652173913044	0.0	0.014937254413373329
Fievee_Dot	33	7	276	4	0.014492753623188406	0.0	0.01762437350897909
Fievee_Dot	34	18	291	3	0.010309278350515464	0.0	0.01965972429233404
Fievee_Dot	35	8	193	6	0.031088082901554404	0.0	0.037806710983541894
Fievee_Dot	36	16	212	2	0.009433962264150943	0.0	0.02293067367235483
Fievee_Dot	37	5	92	0	0.0	0.0	0.0
Fievee_Dot	38	15	246	5	0.02032520325203252	0.0	0.08623632277172387
Fievee_Dot	39	28	326	7	0.02147239263803681	0.0	0.05137535050346908
Fievee_Dot	40	11	150	4	0.02666666666666667	0.0	0.04628714568427791
Fievee_Dot	41	2	65	4	0.06153846153846154	0.0595238095238095	0.037038926633581076
Fievee_Dot	42	12	100	1	0.01	0.0	0.024056261216234397
Fievee_Dot	43	45	807	7	0.008674101610904586	0.0	0.020601383379009065
Fievee_Dot	44	14	195	1	0.005128205128205128	0.0	0.02969569354582493
Fievee_Dot	45	5	130	0	0.0	0.0	0.0
Fievee_Dot	46	12	270	3	0.011111111111111112	0.0	0.013975294149588648
Fievee_Dot	47	11	195	0	0.0	0.0	0.0
Fievee_Dot	48	6	132	2	0.015151515151515152	0.0	0.0162481083590275
Fievee_Dot	49	13	230	2	0.008695652173913044	0.0	0.008804765019448069
Fievee_Dot	50	8	165	5	0.030303030303030304	0.0	0.040256620026432516
Fievee_Dot	51	17	393	17	0.043256997455470736	0.0	0.03844289371785528
Fievee_Dot	52	2	54	7	0.12962962962962962	0.0813953488372093	0.11511040623967052
Fievee_Dot	53	5	91	2	0.02197802197802198	0.0	0.05412824447847349
Fievee_Dot	54	13	205	4	0.01951219512195122	0.0	0.030724404650148134
Fievee_Dot	55	30	391	9	0.023017902813299233	0.0	0.033406235105180634
Fievee_Dot	56	2	21	2	0.09523809523809523	0.0588235294117647	0.08318903308077029
Fievee_Dot	57	4	22	1	0.045454545454545456	0.0	0.0714285714285714
Fievee_Dot	58	8	163	15	0.09202453987730061	0.08599508599508596	0.052084820511010134
Fievee_Dot	59	9	158	5	0.03164556962025317	0.0	0.05151780427819839
Fievee_Dot	60	12	249	3	0.012048192771084338	0.0	0.021524396932310615
Fievee_Dot	61	27	422	8	0.018957345971563982	0.0	0.041582783624617446
Fievee_Dot	62	20	348	3	0.008620689655172414	0.0	0.01857886631052124
Fievee_Dot	63	30	399	4	0.010025062656641603	0.0	0.027959501900555284
Fievee_Dot	64	13	251	3	0.01195219123505976	0.0	0.0323285196231769
Fievee_Dot	65	14	260	5	0.019230769230769232	0.0	0.04478857416524253
Fievee_Dot	66	12	232	3	0.01293103448275862	0.0	0.016274324065259867
Fievee_Dot	67	13	287	4	0.013937282229965157	0.0	0.030694479641692824
Fievee_Dot	68	6	116	5	0.04310344827586207	0.0192307692307692	0.07477224886563001
Fievee_Dot	69	12	128	4	0.03125	0.0	0.048279290774569925
Fievee_Dot	70	7	104	0	0.0	0.0	0.0
Fievee_Dot	71	5	110	2	0.01818181818181818	0.0	0.02030582155168532
Fievee_Dot	72	1	19	1	0.05263157894736842	0.0526315789473684	0.0
Fievee_Dot	73	6	98	2	0.02040816326530612	0.0	0.025854062693153764
Fievee_Dot	74	8	122	1	0.00819672131147541	0.0	0.009555497043061445
Fievee_Dot	75	3	44	1	0.022727272727272728	0.0	0.020619652471058056
Fievee_Dot	76	2	46	2	0.043478260869565216	0.025	0.03535533905932738
Fievee_Dot	77	11	162	3	0.018518518518518517	0.0	0.025727401392537853
Fievee_Dot	78	13	211	3	0.014218009478672985	0.0	0.03409165449692917
Fievee_Dot	79	4	58	2	0.034482758620689655	0.01666666666666665	0.024999999999999994
Fievee_Dot	80	2	23	1	0.043478260869565216	0.03125	0.04419417382415922
Fievee_Dot	81	5	87	5	0.05747126436781609	0.08	0.0424284312111763
Fievee_Dot	82	11	128	4	0.03125	0.0	0.043041297737018154
Fievee_Dot	83	10	113	1	0.008849557522123894	0.0	0.02258769757263127
Fievee_Dot	84	6	72	3	0.041666666666666664	0.0	0.045637796090683226
Fievee_Dot	85	1	7	0	0.0	0.0	0.0
Fievee_Dot	86	10	225	6	0.02666666666666667	0.0128205128205128	0.042124429524723686
Fievee_Dot	87	11	213	5	0.023474178403755867	0.0	0.054264286935318956
Fievee_Dot	88	16	358	2	0.00558659217877095	0.0	0.008739470663732634
Fievee_Dot	89	16	301	4	0.013289036544850499	0.0	0.03949320592034872
Fievee_Dot	90	3	32	0	0.0	0.0	0.0
Fievee_Dot	91	3	42	0	0.0	0.0	0.0
Fievee_Dot	92	10	142	2	0.014084507042253521	0.0	0.01470826818682966
Fievee_Dot	93	27	431	3	0.0069605568445475635	0.0	0.020590368166220868
Fievee_Dot	94	39	681	13	0.01908957415565345	0.0	0.04334830941341509
Fievee_Dot	95	12	136	3	0.022058823529411766	0.0	0.036944003711275764
Fievee_Dot	96	51	700	16	0.022857142857142857	0.0	0.03979266251735399
Fievee_Dot	97	15	150	1	0.006666666666666667	0.0	0.04303314829119351
Fievee_Dot	98	9	126	0	0.0	0.0	0.0
Fievee_Dot	99	18	218	3	0.013761467889908258	0.0	0.04619726191168245
Fievee_Dot	100	36	522	8	0.01532567049808429	0.0	0.038544964466377264
Fievee_Dot	101	11	134	2	0.014925373134328358	0.0	0.033501260508640406
Fievee_Dot	102	5	67	1	0.014925373134328358	0.0	0.01863389981249822
Fievee_Dot	103	16	181	3	0.016574585635359115	0.0	0.03704370924405145
Fievee_Dot	104	3	42	0	0.0	0.0	0.0
Fievee_Dot	105	9	179	2	0.0111731843575419	0.0	0.01401316575669972
Fievee_Dot	106	7	151	6	0.039735099337748346	0.0357142857142857	0.03852606324428254
Fievee_Dot	107	17	244	5	0.020491803278688523	0.0	0.0447993621217229
Fievee_Dot	108	4	87	2	0.022988505747126436	0.0	0.03448275862068965
Fievee_Dot	109	13	175	1	0.005714285714285714	0.0	0.01733438113203841
Fievee_Dot	110	26	512	7	0.013671875	0.0	0.044143981269055686
Fievee_Dot	111	27	345	8	0.02318840579710145	0.0	0.026767737424322428
Fievee_Dot	112	18	361	2	0.00554016620498615	0.0	0.012521849920206524
Fievee_Dot	113	10	228	2	0.008771929824561403	0.0	0.028603705731987315
Fievee_Dot	114	6	165	4	0.024242424242424242	0.0172413793103448	0.0231684933465945
Fievee_Dot	115	17	315	0	0.0	0.0	0.0
Fievee_Dot	116	13	176	2	0.011363636363636364	0.0	0.06909680650007319
Fievee_Dot	117	5	125	1	0.008	0.0	0.012777531299998769
Fievee_Dot	118	18	219	3	0.0136986301369863	0.0	0.020620452223347237
Fievee_Dot	119	10	216	5	0.023148148148148147	0.0	0.09370466906072124
Fievee_Dot	120	27	458	8	0.017467248908296942	0.0	0.022877870729098294
Fievee_Dot	121	9	162	2	0.012345679012345678	0.0	0.035082596992540224
Fievee_Dot	122	43	638	7	0.0109717868338558	0.0	0.014128588692193278
Fievee_Dot	123	30	496	2	0.004032258064516129	0.0	0.01461680969365824
Fievee_Dot	124	12	170	0	0.0	0.0	0.0
Fievee_Dot	125	9	154	2	0.012987012987012988	0.0	0.02045518539000495
Fievee_Dot	126	1	6	0	0.0	0.0	0.0
Fievee_Dot	127	6	106	0	0.0	0.0	0.0
Fievee_Dot	128	15	233	3	0.012875536480686695	0.0	0.02129688442207015
Fievee_Dot	129	19	370	3	0.008108108108108109	0.0	0.01657863797468644
Fievee_Dot	130	28	429	0	0.0	0.0	0.0
Fievee_Dot	131	23	434	6	0.013824884792626729	0.0	0.02338303704257866
Fievee_Dot	132	14	186	0	0.0	0.0	0.0
Fievee_Dot	133	7	118	0	0.0	0.0	0.0
Fievee_Dot	134	4	106	0	0.0	0.0	0.0
